Station information:
Name,Agent Number,Network Number,Latitude (dec.deg),Longitude (dec.deg),Height (m),Posn_Precision,Observing Authority
Christchurch Aero,4843,H32451,-43.493,172.537,37,G,N/A
Note: Position precision types are: "W" = based on whole minutes, "T" = estimated to tenth minute,
"G" = derived from gridref , "E" = error cases derived from gridref,
"H" = based on GPS readings (NZGD49), "D" = by definition i.e. grid points.

Max_min: Daily
Station,Date(NZST),Tmax(C),Period(Hrs),Tmin(C),Period(Hrs),Tgmin(C),Period(Hrs),Tmean(C),RHmean(%),Period(Hrs),Freq
4843,20170101:0800,27.5,24,16.4,24,16.5,24,-,-,-,D
4843,20170102:0800,29.5,24,11.6,24,12.7,24,-,-,-,D
4843,20170103:0800,15.5,24,12.2,24,11.7,24,-,-,-,D
4843,20170104:0800,19.1,24,10.7,24,9.9,24,-,-,-,D
4843,20170105:0800,17.2,24,6.3,24,4.1,24,-,-,-,D
4843,20170106:0800,16.7,24,5.9,24,2.8,24,-,-,-,D
4843,20170107:0800,24.4,24,6.9,24,6.0,24,-,-,-,D
4843,20170108:0800,18.4,24,7.6,24,7.0,24,-,-,-,D
4843,20170109:0800,20.5,24,10.7,24,11.6,24,-,-,-,D
4843,20170110:0800,17.3,24,11.4,24,10.5,24,-,-,-,D
4843,20170111:0800,21.9,24,13.1,24,11.4,24,-,-,-,D
4843,20170112:0800,30.2,24,16.4,24,16.3,24,-,-,-,D
4843,20170113:0800,29.8,24,9.3,24,4.8,24,-,-,-,D
4843,20170114:0800,23.2,24,11.8,24,10.7,24,-,-,-,D
4843,20170115:0800,26.4,24,15.0,24,12.4,24,-,-,-,D
4843,20170116:0800,28.5,24,8.2,24,5.4,24,-,-,-,D
4843,20170117:0800,25.8,24,15.3,24,10.9,24,-,-,-,D
4843,20170118:0800,28.7,24,16.0,24,13.9,24,-,-,-,D
4843,20170119:0800,20.6,24,13.3,24,9.6,24,-,-,-,D
4843,20170120:0800,23.0,24,6.4,24,3.7,24,-,-,-,D
4843,20170121:0800,18.0,24,7.3,24,2.7,24,-,-,-,D
4843,20170122:0800,19.2,24,11.5,24,12.2,24,-,-,-,D
4843,20170123:0800,16.4,24,11.2,24,11.4,24,-,-,-,D
4843,20170124:0800,20.5,24,9.1,24,6.0,24,-,-,-,D
4843,20170125:0800,23.8,24,13.7,24,9.2,24,-,-,-,D
4843,20170126:0800,25.8,24,6.0,24,2.9,24,-,-,-,D
4843,20170127:0800,28.0,24,8.8,24,6.6,24,-,-,-,D
4843,20170128:0800,28.1,24,8.7,24,5.7,24,-,-,-,D
4843,20170129:0800,21.1,24,11.7,24,10.6,24,-,-,-,D
4843,20170130:0800,25.2,24,11.3,24,8.0,24,-,-,-,D
4843,20170131:0800,23.1,24,11.4,24,8.3,24,-,-,-,D
4843,20170201:0800,31.0,24,13.0,24,15.8,24,-,-,-,D
4843,20170202:0800,17.5,24,10.3,24,7.6,24,-,-,-,D
4843,20170203:0800,19.8,24,7.4,24,3.6,24,-,-,-,D
4843,20170204:0800,22.9,24,11.4,24,6.0,24,-,-,-,D
4843,20170205:0800,29.4,24,9.1,24,6.4,24,-,-,-,D
4843,20170206:0800,28.4,24,13.3,24,8.9,24,-,-,-,D
4843,20170207:0800,30.1,24,12.4,24,12.2,24,-,-,-,D
4843,20170208:0800,15.6,24,9.5,24,9.5,24,-,-,-,D
4843,20170209:0800,17.3,24,2.5,24,-0.4,24,-,-,-,D
4843,20170210:0800,17.8,24,5.9,24,1.5,24,-,-,-,D
4843,20170211:0800,21.3,24,6.3,24,3.0,24,-,-,-,D
4843,20170212:0800,22.9,24,13.2,24,10.9,24,-,-,-,D
4843,20170213:0800,28.8,24,10.0,24,8.1,24,-,-,-,D
4843,20170214:0800,25.2,24,12.9,24,8.5,24,-,-,-,D
4843,20170215:0800,24.8,24,2.3,24,-1.4,24,-,-,-,D
4843,20170216:0800,23.7,24,7.5,24,4.7,24,-,-,-,D
4843,20170217:0800,21.2,24,13.1,24,14.0,24,-,-,-,D
4843,20170218:0800,19.9,24,13.3,24,12.3,24,-,-,-,D
4843,20170219:0800,20.7,24,14.3,24,15.2,24,-,-,-,D
4843,20170220:0800,21.8,24,15.2,24,15.8,24,-,-,-,D
4843,20170221:0800,20.7,24,15.9,24,13.9,24,-,-,-,D
4843,20170222:0800,24.5,24,13.3,24,10.7,24,-,-,-,D
4843,20170223:0800,26.0,24,14.9,24,13.6,24,-,-,-,D
4843,20170224:0800,24.0,24,14.2,24,12.4,24,-,-,-,D
4843,20170225:0800,23.4,24,12.2,24,9.4,24,-,-,-,D
4843,20170226:0800,25.1,24,14.0,24,14.5,24,-,-,-,D
4843,20170227:0800,15.3,24,10.6,24,8.8,24,-,-,-,D
4843,20170228:0800,20.6,24,9.2,24,7.5,24,-,-,-,D
4843,20170301:0800,21.4,24,15.0,24,15.2,24,-,-,-,D
4843,20170302:0800,23.2,24,12.6,24,8.8,24,-,-,-,D
4843,20170303:0800,25.1,24,12.5,24,7.0,24,-,-,-,D
4843,20170304:0800,29.0,24,11.3,24,11.3,24,-,-,-,D
4843,20170305:0800,19.8,24,7.3,24,4.2,24,-,-,-,D
4843,20170306:0800,29.7,24,12.9,24,11.6,24,-,-,-,D
4843,20170307:0800,24.0,24,11.1,24,12.1,24,-,-,-,D
4843,20170308:0800,15.0,24,7.9,24,5.5,24,-,-,-,D
4843,20170309:0800,16.6,24,2.7,24,0.1,24,-,-,-,D
4843,20170310:0800,18.3,24,7.1,24,3.3,24,-,-,-,D
4843,20170311:0800,25.7,24,10.6,24,12.5,24,-,-,-,D
4843,20170312:0800,15.3,24,10.6,24,10.9,24,-,-,-,D
4843,20170313:0800,13.4,24,10.8,24,11.1,24,-,-,-,D
4843,20170314:0800,12.3,24,9.7,24,9.6,24,-,-,-,D
4843,20170315:0800,14.4,24,9.8,24,8.3,24,-,-,-,D
4843,20170316:0800,20.1,24,5.7,24,3.6,24,-,-,-,D
4843,20170317:0800,21.9,24,11.0,24,9.5,24,-,-,-,D
4843,20170318:0800,26.5,24,12.5,24,11.4,24,-,-,-,D
4843,20170319:0800,16.2,24,3.1,24,0.9,24,-,-,-,D
4843,20170320:0800,20.0,24,8.6,24,6.3,24,-,-,-,D
4843,20170321:0800,21.3,24,9.2,24,6.0,24,-,-,-,D
4843,20170322:0800,14.1,24,11.7,24,11.9,24,-,-,-,D
4843,20170323:0800,14.8,24,10.8,24,10.9,24,-,-,-,D
4843,20170324:0800,15.8,24,10.6,24,9.8,24,-,-,-,D
4843,20170325:0800,22.0,24,10.9,24,11.5,24,-,-,-,D
4843,20170326:0800,13.7,24,11.2,24,11.1,24,-,-,-,D
4843,20170327:0800,17.5,24,13.1,24,12.9,24,-,-,-,D
4843,20170328:0800,14.6,24,10.4,24,10.3,24,-,-,-,D
4843,20170329:0800,16.9,24,11.2,24,12.3,24,-,-,-,D
4843,20170330:0800,17.2,24,13.1,24,11.5,24,-,-,-,D
4843,20170331:0800,21.2,24,10.7,24,10.5,24,-,-,-,D
4843,20170401:0800,23.0,24,11.4,24,11.7,24,-,-,-,D
4843,20170402:0900,22.8,24,12.2,24,9.4,24,-,-,-,D
4843,20170403:0900,25.1,24,11.0,24,11.6,24,-,-,-,D
4843,20170404:0900,12.3,24,8.9,24,9.5,24,-,-,-,D
4843,20170405:0900,13.4,24,8.6,24,9.0,24,-,-,-,D
4843,20170406:0900,12.2,24,10.1,24,10.8,24,-,-,-,D
4843,20170407:0900,11.2,24,5.6,24,3.7,24,-,-,-,D
4843,20170408:0900,16.8,24,9.0,24,7.3,24,-,-,-,D
4843,20170409:0900,15.7,24,3.5,24,1.7,24,-,-,-,D
4843,20170410:0900,16.6,24,4.0,24,1.6,24,-,-,-,D
4843,20170411:0900,17.5,24,9.6,24,5.5,24,-,-,-,D
4843,20170412:0900,17.0,24,10.1,24,11.8,24,-,-,-,D
4843,20170413:0900,12.9,24,11.5,24,11.4,24,-,-,-,D
4843,20170414:0900,15.1,24,12.5,24,12.4,24,-,-,-,D
4843,20170415:0900,16.9,24,10.9,24,8.0,24,-,-,-,D
4843,20170416:0900,23.1,24,5.3,24,3.1,24,-,-,-,D
4843,20170417:0900,15.5,24,10.1,24,10.4,24,-,-,-,D
